Frequencies of SLCO1B1 alleles in biogeographical groups,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SLCO1B1 allele,African American/Afro-Caribbean,American,Central/South Asian,East Asian,European,Near Eastern,Oceanian,Sub-Saharan African
*1,0.23000002,0.37,0.46972018,0.25522262,0.4027496,0.49,0.33999997,0.17130345
*5,0.0,0.0,0.004471154,0.0010003184,0.02040433,0.05,0.0,0.0
*6,,,0.0,0.0,0.0,,,
*8,,,0.0,0.0,0.0,,,
*14,,,,,0.135571,,,0.0
*15,0.01,0.24,0.065170676,0.12453574,0.15017298,0.15,0.0,0.027934482
*16,,,0.0,0.0045032115,0.0005718263,,,
*20,,,,,0.037392758,,,
*23,,,0.00010,0.0,0.00010,,,
*26,,,0.00030,,0.00020,,,
*27,,,,0.0,,,,
*34,,,0.0,0.0,0.0,,,
*36,,,0.0,0.0,0.0,,,
*37,0.76,0.39,0.46023798,0.6147381,0.25273752,0.31,0.66,0.80076206
*41,,,0.0,0.0,0.00010,,,
