CYP2B6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*1,,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*2,,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*3,,CYP2B6 Indeterminate,none
*1/*4,,CYP2B6 Rapid Metabolizer,Normal/Routine/Low Risk
*1/*5,,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*6,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*7,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*8,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*9,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*10,,CYP2B6 Indeterminate,none
*1/*11,,CYP2B6 Indeterminate,none
*1/*12,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*13,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*14,,CYP2B6 Indeterminate,none
*1/*15,,CYP2B6 Indeterminate,none
*1/*17,,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*18,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*19,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*20,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*21,,CYP2B6 Indeterminate,none
*1/*22,,CYP2B6 Indeterminate,none
*1/*23,,CYP2B6 Indeterminate,none
*1/*24,,CYP2B6 Indeterminate,none
*1/*25,,CYP2B6 Indeterminate,none
*1/*26,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*27,,CYP2B6 Indeterminate,none
*1/*28,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*29,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*30,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*31,,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*32,,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*33,,CYP2B6 Indeterminate,none
*1/*34,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*35,,CYP2B6 Indeterminate,none
*1/*36,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*37,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*38,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*39,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*40,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*41,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*42,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*43,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*44,,CYP2B6 Indeterminate,none
*1/*45,,CYP2B6 Indeterminate,none
*1/*46,,CYP2B6 Indeterminate,none
*1/*47,,CYP2B6 Indeterminate,none
*1/*48,,CYP2B6 Indeterminate,none
*1/*49,,CYP2B6 Indeterminate,none
*2/*2,,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*2/*3,,CYP2B6 Indeterminate,none
*2/*4,,CYP2B6 Rapid Metabolizer,Normal/Routine/Low Risk
*2/*5,,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*2/*6,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*7,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*8,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*9,,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*10,,CYP2B6 Indeterminate,none
*2/*11,,CYP2B6 Indeterminate,none
