CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*1,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*1x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*1x≥3,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*2x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*2x≥3,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*3,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*3x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4x≥3,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*5,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*6,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*6x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*7,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*8,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*9,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*9x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*10,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*10x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*11,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*12,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*13,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*13+*1,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*13+*1x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*13+*2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*13+*68x2+*4,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*14,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*15,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*17,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*17x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*18,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*19,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*20,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*21,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*22,,CYP2D6 Indeterminate,none
*1/*23,,CYP2D6 Indeterminate,none
*1/*24,,CYP2D6 Indeterminate,none
*1/*25,,CYP2D6 Indeterminate,none
*1/*26,,CYP2D6 Indeterminate,none
*1/*27,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*27x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*28,,CYP2D6 Indeterminate,none
*1/*28x2,,CYP2D6 Indeterminate,none
*1/*29,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*29x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*30,,CYP2D6 Indeterminate,none
*1/*31,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*32,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*33,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*34,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*35,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*35x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*36,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*36+*10,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*36+*10x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*36x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*36x2+*10,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*36x2+*10x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*37,,CYP2D6 Indeterminate,none
*1/*38,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*39,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*40,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*41,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*41x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*41x3,1.75,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*42,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*43,,CYP2D6 Indeterminate,none
*1/*43x2,,CYP2D6 Indeterminate,none
*1/*44,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*45,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*45x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*46,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*47,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*48,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*49,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*50,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*51,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*52,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*53,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*54,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*55,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*56,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*58,,CYP2D6 Indeterminate,none
*1/*59,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*60,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*61,,CYP2D6 Indeterminate,none
*1/*62,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*63,,CYP2D6 Indeterminate,none
*1/*64,,CYP2D6 Indeterminate,none
*1/*65,,CYP2D6 Indeterminate,none
*1/*68,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*68+*2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*68+*4,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*69,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*70,,CYP2D6 Indeterminate,none
*1/*71,,CYP2D6 Indeterminate,none
*1/*72,,CYP2D6 Indeterminate,none
*1/*73,,CYP2D6 Indeterminate,none
*1/*74,,CYP2D6 Indeterminate,none
*1/*75,,CYP2D6 Indeterminate,none
*1/*81,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*82,,CYP2D6 Indeterminate,none
*1/*83,,CYP2D6 Indeterminate,none
*1/*84,,CYP2D6 Indeterminate,none
*1/*85,,CYP2D6 Indeterminate,none
*1/*86,,CYP2D6 Indeterminate,none
*1/*87,,CYP2D6 Indeterminate,none
*1/*88,,CYP2D6 Indeterminate,none
*1/*89,,CYP2D6 Indeterminate,none
*1/*90,,CYP2D6 Indeterminate,none
*1/*91,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*1/*92,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*93,,CYP2D6 Indeterminate,none
*1/*94,,CYP2D6 Indeterminate,none
*1/*95,,CYP2D6 Indeterminate,none
*1/*96,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*97,,CYP2D6 Indeterminate,none
*1/*98,,CYP2D6 Indeterminate,none
*1/*99,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
