SLCO1B1 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*1,,SLCO1B1 Normal Function,Normal/Routine/Low Risk
*1/*2,,SLCO1B1 Indeterminate,none
*1/*4,,SLCO1B1 Indeterminate,none
*1/*5,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*6,,SLCO1B1 Indeterminate,none
*1/*8,,SLCO1B1 Indeterminate,none
*1/*9,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*10,,SLCO1B1 Indeterminate,none
*1/*11,,SLCO1B1 Indeterminate,none
*1/*14,,SLCO1B1 Normal Function,Normal/Routine/Low Risk
*1/*15,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*16,,SLCO1B1 Indeterminate,none
*1/*19,,SLCO1B1 Indeterminate,none
*1/*20,,SLCO1B1 Normal Function,Normal/Routine/Low Risk
*1/*23,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*24,,SLCO1B1 Indeterminate,none
*1/*25,,SLCO1B1 Indeterminate,none
*1/*26,,SLCO1B1 Indeterminate,none
*1/*27,,SLCO1B1 Indeterminate,none
*1/*28,,SLCO1B1 Indeterminate,none
*1/*29,,SLCO1B1 Indeterminate,none
*1/*30,,SLCO1B1 Indeterminate,none
*1/*31,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*32,,SLCO1B1 Indeterminate,none
*1/*33,,SLCO1B1 Indeterminate,none
*1/*34,,SLCO1B1 Indeterminate,none
*1/*36,,SLCO1B1 Indeterminate,none
*1/*37,,SLCO1B1 Normal Function,Normal/Routine/Low Risk
*1/*39,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*40,,SLCO1B1 Indeterminate,none
*1/*41,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*42,,SLCO1B1 Indeterminate,none
*1/*43,,SLCO1B1 Indeterminate,none
*1/*44,,SLCO1B1 Indeterminate,none
*1/*45,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*47,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*48,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*1/*49,,SLCO1B1 Decreased Function,Abnormal/Priority/High Risk
*2/*2,,SLCO1B1 Indeterminate,none
*2/*4,,SLCO1B1 Indeterminate,none
*2/*5,,SLCO1B1 Possible Decreased Function,Abnormal/Priority/High Risk
*2/*6,,SLCO1B1 Indeterminate,none
*2/*8,,SLCO1B1 Indeterminate,none
*2/*9,,SLCO1B1 Possible Decreased Function,Abnormal/Priority/High Risk
*2/*10,,SLCO1B1 Indeterminate,none
*2/*11,,SLCO1B1 Indeterminate,none
*2/*14,,SLCO1B1 Indeterminate,none
*2/*15,,SLCO1B1 Possible Decreased Function,Abnormal/Priority/High Risk
*2/*16,,SLCO1B1 Indeterminate,none
*2/*19,,SLCO1B1 Indeterminate,none
*2/*20,,SLCO1B1 Indeterminate,none
*2/*23,,SLCO1B1 Possible Decreased Function,Abnormal/Priority/High Risk
*2/*24,,SLCO1B1 Indeterminate,none
*2/*25,,SLCO1B1 Indeterminate,none
*2/*26,,SLCO1B1 Indeterminate,none
*2/*27,,SLCO1B1 Indeterminate,none
*2/*28,,SLCO1B1 Indeterminate,none
*2/*29,,SLCO1B1 Indeterminate,none
*2/*30,,SLCO1B1 Indeterminate,none
*2/*31,,SLCO1B1 Possible Decreased Function,Abnormal/Priority/High Risk
*2/*32,,SLCO1B1 Indeterminate,none
