TPMT Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*1,,TPMT Normal Metabolizer,Normal/Routine/Low Risk
*1/*2,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*3A,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*3B,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*3C,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*5,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*6,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*7,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*8,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*9,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*10,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*11,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*12,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*13,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*14,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*15,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*16,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*17,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*18,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*19,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*20,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*21,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*22,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*23,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*24,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*25,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*26,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*27,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*28,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*29,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*30,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*31,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*32,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*33,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*34,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*35,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*36,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*37,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*38,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*39,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*40,,TPMT Indeterminate,Abnormal/Priority/High Risk
*1/*41,,TPMT Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*2,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*3A,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*3B,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*3C,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*4,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*5,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*6,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*7,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*8,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*9,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*10,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*11,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*12,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*13,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*14,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*15,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*16,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*17,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*18,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*19,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*20,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*21,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*22,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*23,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*24,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*25,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*26,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*27,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*28,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*29,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*2/*30,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*31,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*32,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*33,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*34,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*35,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*36,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*37,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*38,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*39,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*40,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*41,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*3A/*3A,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*3A/*3B,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*3A/*3C,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*3A/*4,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*3A/*5,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*6,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*7,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*8,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*9,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*10,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*11,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*3A/*12,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*13,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*14,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*3A/*15,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*3A/*16,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*17,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*18,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*19,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*20,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*21,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*22,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*23,,TPMT Poor Metabolizer,Abnormal/Priority/High Risk
*3A/*24,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*25,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*26,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3A/*27,,TPMT Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
