G6PD Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
202G>A_376A>G_1264C>G,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/202G>A_376A>G_1264C>G,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/A,,G6PD Variable,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/A- 202A_376G,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/A- 680T_376G,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/A- 968C_376G,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Aachen,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Abeno,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Acrokorinthos,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Alhambra,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Amazonia,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Amiens,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Amsterdam,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Anadia,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Ananindeua,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Andalus,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Arakawa,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Asahi,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Asahikawa,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Aures,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Aveiro,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/B (reference),,G6PD Variable,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Bajo Maumere,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Bangkok,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Bangkok Noi,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Bao Loc,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Bari,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Belem,,G6PD Deficient,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Beverly Hills, Genova, Iwate, Niigata, Yamaguchi",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Brighton,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Buenos Aires,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Cairo,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Calvo Mackenna,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Campinas,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Canton, Taiwan-Hakka, Gifu-like, Agrigento-like",,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Cassano,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Chatham,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Chikugo,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Chinese-1,,G6PD Deficient,Abnormal/Priority/High Risk
