Allele/cDNA/rsID,Activity Value (Optional),Allele Biochemical Functional Status (Optional),Allele Clinical Functional Status (Required),Allele Clinical Function Substrate Specificity (Optional),References (Required),Strength of Evidence (Required),Summary of Findings (Required),Comments
*1,,,Normal function,,,,,
*2,,,No function,,"786267, 16220112, 9177237, 18708949, 8644731",,,
*3A,,,No function,,"16220112, 9177237, 18708949, 8644731, 8561894",,,
*3B,,,No function,,"16220112, 18708949, 8644731, 8561894",,,
*3C,,,No function,,"16220112, 18708949, 8644731, 8561894",,,
*4,,,No function,,9246020,,,
*5,,,Uncertain function,,"18708949, 16220112, 9246020",,,
*6,,,Uncertain function,,"18708949, 16220112, 9246020",,,
*7,,,Uncertain function,,"18708949, 16220112, 9246020, 13679074",,,
*8,,,Uncertain function,,"18708949, 16220112, 27564568, 9931346",,,
*9,,,Uncertain function,,"18708949, 18602085, 15226673, 16220112",,,
*10,,,Uncertain function,,"18708949, 13679074, 10833476, 16220112",,,
*11,,,No function,,"18708949, 12835738, 16220112",,,
*12,,,Uncertain function,,"18708949, 13679074, 27564568, 16220112",,,
*13,,,Uncertain function,,"18708949, 13679074, 16220112",,,
*14,,,No function,,"18708949, 15083071",,,
*15,,,No function,,15083071,,,
*16,,,Uncertain function,,"18708949, 15652243, 25564374, 15226673",,,
*17,,,Uncertain function,,"18708949, 15226673",,,
*18,,,Uncertain function,,"18708949, 15226673",,,
*19,,,Uncertain function,,"18708949, 15652243",,,
*20,,,Uncertain function,,"18708949, 16917910",,,
*21,,,Uncertain function,,"18708949, 18602085, 16917910",,,
*22,,,Uncertain function,,"18708949, 16917910",,,
*23,,,No function,,"17885628, 18708949",,,
*24,,,Uncertain function,,"18602085, 18708949",,,
*25,,,Uncertain function,,18602085,,,
*26,,,Uncertain function,,19660010,,,
*27,,,Uncertain function,,19945438,,,
*28,,,Uncertain function,,20945351,,,
*29,,,No function,,22447118,,,
*30,,,Unknown function,,"23407052, 16946561",,,
*31,,,Uncertain function,,"23407052, 20881512",,,
*32,,,Uncertain function,,"25564374, 23252716",,,
*33,,,Uncertain function,,23252716,,,
*34,,,Uncertain function,,23252716,,,
*35,,,Unknown function,,23252704,,,
*36,,,Unknown function,,23252704,,,
*37,,,Uncertain function,,24710034,,,
*38,,,Unknown function,,25564374,,,
*39,,,Uncertain function,,27703193,,,
*40,,,Uncertain function,,27564568,,,
*41,,,No function,,28462921,,,
